TITLE,ARTIST,ENERGY,DANCE,LOUD,VALENCE,ACOUSTIC
Everlong - Acoustic Version,Foo Fighters,34,64,-11,55,91
The Times They Are A-Changin',Bob Dylan,40,39,-8,59,89
God's Gonna Cut You Down,Johnny Cash,48,61,-8,79,88
A Horse with No Name,America,51,65,-17,83,69
California Dreamin',The Mamas & The Papas,69,55,-10,56,63
No Rain,Blind Melon,48,39,-9,57,62
Happy Together,The Turtles,37,58,-10,59,55
Left Hand Free,alt-J,88,70,-4,81,45
Under Pressure,Queen,54,66,-13,47,42
For What It's Worth,Buffalo Springfield,52,65,-10,82,41
,,,,,,
Another One Bites The Dust - Remastered 2011,Queen,53,95,-7,70,12
What I Got,Sublime,71,80,-7,62,2
Stuck In The Middle With You,Stealers Wheel,54,79,-10,96,8
Burning Down the House - 45 Version,Talking Heads,87,78,-13,56,1
1979,The Smashing Pumpkins,74,77,-11,96,2
Drive My Car - Remastered 2009,The Beatles,57,75,-9,82,2
Seven Nation Army,The White Stripes,46,74,-8,32,1
Howlin' for You,The Black Keys,74,71,-7,45,3
Left Hand Free,alt-J,88,70,-4,81,45
Blister in the Sun - 2002 Remastered Version,Violent Femmes,26,70,-20,89,22
,,,,,,
Somebody Told Me,The Killers,97,50,-4,73,0
Smooth Criminal,Alien Ant Farm,96,65,-4,88,0
Going Down/ Love In An Elevator,Aerosmith,96,45,-4,42,2
My Own Worst Enemy,Lit,95,49,-3,74,0
What's My Age Again?,blink-182,95,40,-7,43,1
Interstate Love Song,Stone Temple Pilots,95,21,-5,48,0
Give It Away,Red Hot Chili Peppers,94,67,-10,78,0
Father Of Mine,Everclear,94,57,-5,74,0
Sweet Child O' Mine,Guns N' Roses,94,45,-5,66,14
The Impression That I Get,The Mighty Mighty Bosstones,94,43,-5,67,9
,,,,,,
My Own Worst Enemy,Lit,95,49,-3,74,0
Californication,Red Hot Chili Peppers,77,59,-3,33,0
Somebody Told Me,The Killers,97,50,-4,73,0
Smooth Criminal,Alien Ant Farm,96,65,-4,88,0
Going Down/ Love In An Elevator,Aerosmith,96,45,-4,42,2
Buddy Holly,Weezer,93,54,-4,83,1
Chop Suey!,System Of A Down,93,42,-4,29,0
Learn to Fly,Foo Fighters,92,47,-4,54,0
When I Come Around,Green Day,91,53,-4,81,2
Snow (Hey Oh),Red Hot Chili Peppers,90,43,-4,63,13
,,,,,,
Stuck In The Middle With You,Stealers Wheel,54,79,-10,96,8
1979,The Smashing Pumpkins,74,77,-11,96,2
Ain't No Rest for the Wicked,Cage The Elephant,85,63,-7,92,4
Song 2 - 2012 Remaster,Blur,79,67,-7,92,0
The Way,Fastball,87,65,-6,90,15
My Sharona,The Knack,70,59,-10,90,6
The Distance,Cake,75,46,-8,89,1
"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA (1st Show) - January 1968",Johnny Cash,58,59,-13,89,2
Blister in the Sun - 2002 Remastered Version,Violent Femmes,26,70,-20,89,22
Smooth Criminal,Alien Ant Farm,96,65,-4,88,0
